1;Придумай костюм;2 команды (5 человек) каждой выдается:$1. рулон обоев$2 ножницы$3. веревка$Кто быстрее и оригинальнее создаст костюм на моникене (одном из команды).
1;У кого щетка?;8-10 человек становятся в тесный круг - плечо к плечу, а руки держим за спиной. У одного в руках щетка. Водящего помещают в середине.$Игра начинается с момента, когда водящий три раза повернется на месте.$Щетка начинает свое путешествие по кругу, передаваемая из рук в руки. Угадать, у кого она в тот или иной момент находится, дело нелегкое, так как все не стоят спокойно, а непрерывно делают вид, будто принимают или передают щетку своему соседу. Попробуй-ка тут отличить мнимые движения от действительных!$Пока водящий присматривается к одному, к другому, к третьему, в это- время, глядишь, кто-нибудь уже прошелся щеткой по его спине. Мгновенье - и щетки след простыл.$- Руки! - приказывает вдруг водящий, указывая на одного из игроков, заподозрив, что щетка в данный момент находится именно у него. Тотчас же все протягивают руки вперед. И если щетка окажется у того, на кого показал водящий, или же у его соседа (передать щетку соседу в момент возгласа водящего обычно всегда успевают), то водить идет тот, в чьей руке будет щетка. Если же она окажется в руках другого участника игры, последнему предоставляется возможность "старательно" почистить водящего, после чего игра возобновляется в том же порядке: водящий три раза поворачивается на месте, а щетка идет гулять по кругу.
1;Танцы с конфетой;Берете несколько пар (мужчина и женщина), Паре вставляют в рот 1 конфетку на двоих. Включаете музыку, и пусть они танцуют с конфетой во рту. Кто разъеденится - тот проиграл!
1;Выпивалки;Берется 2 команды и 2 кастрюли с водой. На счет "раз" обе команды начинают пить воду воду из кастрюли с помощью трубочек, соответственно победившая команда - та, которая сделает это быстрее!
1;Танцульки;Берется простой альбомный лист бумаги, ложешь его на пол, приглашаешь молодую пару и говоришь чтобы они станцевали на нем пока будет играть песня. Они ни разу не должны заступить за него, если заступают, то они проиграли, а также, если они заступают, то$снимают с себя какую-нибудь вещь, но не в коем случае ни каких монет и т.д. если пара станцевала, то они выигрыавют.
1;Народный мяч;Болгарская игра, но в нее играют и в других странах Балканского полуострова и Центральной Европы.$Играют на волейбольной площадке без сетки две команды по 10 - 15 человек. Каждая располагается на своей половине площадки, а по одному игроку посылают на половину противника. Мяч вводится в игру броском. Если игрок одной команды ловит его, он бросает его на половину другой команды, стараясь попасть в игрока противника. Игрок, в которого попали мячом, выбывает из игры. Если он ловит мяч на лету, то ответный броском старается попасть в противника. Так меняется порядок бросков, и число выбывших растет. Команда, выбившая всех противников, выигрывает. Роль стоящего позади игрока - поднимать и передавать своей команде мяч, выкатившийся за пределы площадки. Этот игрок может ввести противника в заблуждение. Брошенный ему через площадку мяч он может отбросить своим партнерам для более удачного броска. Однако сам вы бить противника он не может.
1;Околпачим;Бумажный колпак, укрепленный на длинной палке, необходимо надеть на голову соперника. Играют два участника, стараясь как можно быстрее «околпачить» друг друга.
1;Спиртометр;В "тесной" компании двум подвыпившим мужчинам предлагается проверить, кто более пьян. Для этого им выдаются фломастеры, а сзади них - нарисованную на ватмане шкалу, где указаны по нарастающей градусы - 20, 30, 40 граду- сов и выше. Задача участников - нагнувшись, протягивая руку к "Спиртометру" между ног, отметить фломастером градусы на шкале. Каждому хочется быть более трезвым, поэтому градусы на шкале располагают от большего числа к меньшему, чтобы игроки тянули руки выше.
1;Ленточки;В игре могут участвовать минимум трое игроков. Посредине комнаты становится основной игрок, для начала, например, девушка. Двум другим игрокам (мужчинам) завязываются глаза. Одному из них дают в руки несколько ленточек. Он должен с закрытыми глазами подойти к девушке и завязать на ней бантики в любом месте. Задача второго мужчины подойти к девушке и найти-развязать все бантики. Затем игроки меняются местами - на роль основного игрока приглашается мужчина. И так, пока все желающие не испробуют все роли.
1;Кольца Сатурна;В игре принимают участие все желающие. Количество одновременно участвующих зависит от количества реквизита. Реквизит: пластмассовые гимнастические обручи, пиво (кола, «спрайт» и т. п.), желательно в стаканах, но можно и в баночках или в бутылочках. Как вы уже догадались, обруч надо крутить на поясе (руке, ноге, шее) и одновременно с этим пить пиво (колу, «спрайт» и т. п.).$Выигравшего можно определять по нескольким параметрам: кто быстрее выпьет, кто не обольется, кто вообще сможет выпить. Конечно же, после второй или пятой рюмочки эффект будет более сногсшибательным.$Удачи вам после тренировок!
1;Найди деньги;В игре принимают участие две команды, в каждой парень и девушка. Ведущий выдает паре "деньги" (можно настоящие, а можно и игрушечные), по его команде девушка должна как можно быстрее, лучше, а главное подальше, спрятать "деньги" на парне. Прятать можно хоть куда: в карманы, в носки, в ширинку и пр. Посло того, как деньги спрятаны, пары меняются партнерами. Теперь девушка должна отыскать деньги на парне. Кто больше найдет, та пара победила. 
1;Прищепки-1;В игре принимают участие несколько пар. Всем участникам завязывают глаза, а затем на разные участки одежды цепляют несколько бельевых прищепок. Куда цеплять - подсказывать не надо?.-))) Задача - как можно быстрее снять по сигналу ведущего как можно больше прищепок со своего партнера. Пара, быстрее всех сделавшая это, считается победителем конкурса. 
1;Бой на корточках;В игре участвуют 6-8 человек. На полу мелом чертится круг. Соперники в кругу встают на корточки, вытягивают руки вперед ладонями и, ударяя о ладони соперника, стараются вытолкнуть его из круга или заставить коснуться пола рукой. Кому это удастся сделать, тот и объявляется победителем.
1;Шаловливые ручки;В игре участвуют несколько пар. Каждая пара получает по два пингпонговых шарика. Задача мужчин - прокатить эти шарики из правого рукава дамы в левый рукав. Дамы же прокатывают шарики через брюки мужчины из правой штанины в левую.
1;Эстафета;В игру может играть сколько угодно человек. Все делятся на две команды (различия в поле не важны), самое главное - чтобы было одинаковое кол-во человек в каждой команде. Команды выстраиваются друг за другом. Перед ними на определенном расстоянии ставится опора, на ней:$1. бутылка водки (любое спиртное, просто с водкой интереснее),$2. рюмка (стакан - кому как нравиться),$3. тарелка с легкой закуской (н-р, лимон).$Бежит первый человек - наливает водку в стакан и бежит обратно, второй - выпивает и бежит обратно, третий - закусывает, тоже бежит обратно, четвертый - делает все: наливает, выпивает, закусывает и бежит обратно и т.д. Выигрывает та команда, у которой быстрее кончилось спиртное.
